identifier	time_total_s	time_perevent_s
Reader:EventGenerator	0.1851	0.001851
Writer:RootParticleWriter	0.3492	0.003492
Writer:RootVertexWriter	0.04758	0.0004758
Algorithm:ParticleSelector	0.02257	0.0002257
Algorithm:FatrasSimulation	15.88	0.1588
Writer:CsvParticleWriter	1.183	0.01183
Writer:CsvParticleWriter	1.221	0.01221
Writer:CsvSimHitWriter	20.57	0.2057
Writer:RootParticleWriter	0.5178	0.005178
Writer:RootSimHitWriter	5.167	0.05167
Algorithm:DigitizationAlgorithm	3.592	0.03592
Writer:RootMeasurementWriter	11.57	0.1157
Writer:CsvMeasurementWriter	17.01	0.1701
Algorithm:TruthSeedSelector	5.418	0.05418
Algorithm:SpacePointMaker	0.4131	0.004131
Algorithm:SeedingAlgorithm	8.324	0.08324
Algorithm:TrackParamsEstimationAlgorithm	1.173	0.01173
Algorithm:SeedsToPrototracks	0.09339	0.0009339
Writer:SeedingPerformanceWriter	24.3	0.243
Writer:RootTrackParameterWriter	6.097	0.06097
Writer:CsvSeedWriter	26.73	0.2673
Algorithm:TrackFindingAlgorithm	151.4	1.514
Algorithm:TrackTruthMatcher	0.6061	0.006061
Writer:RootTrackStatesWriter	169.7	1.697
Writer:RootTrackSummaryWriter	3.209	0.03209
Writer:CKFPerformanceWriter	24.55	0.2455
Writer:CsvTrackWriter	2.117	0.02117
Algorithm:GreedyAmbiguityResolutionAlgorithm	1.308	0.01308
Algorithm:TrackTruthMatcher	0.8615	0.008615
Writer:RootTrackStatesWriter	141.6	1.416
Writer:RootTrackSummaryWriter	3.217	0.03217
Writer:CKFPerformanceWriter	24.87	0.2487
Writer:CsvTrackWriter	2.01	0.0201
Algorithm:TracksToParameters	0.0493	0.000493
Algorithm:IterativeVertexFinder	1.924	0.01924
Writer:VertexPerformanceWriter	0.5154	0.005154
