<<<<<<< HEAD
ACTS_vol_id,ACTS_layer_id,FTF_id
=======
>>>>>>> cd6e1eb9befbbfba5b907897a2dd81986b5fcdf4
8,2,72
8,4,72
8,6,72
8,8,72
8,12,72
8,16,72
8,20,72
8,24,72
8,28,72
<<<<<<< HEAD
8,40,72
=======
8,"40 ",72
>>>>>>> cd6e1eb9befbbfba5b907897a2dd81986b5fcdf4
8,10,71
8,14,71
8,18,71
8,22,71
8,26,71
8,30,71
9,4,81
9,2,80
10,14,92
10,16,92
10,18,92
10,20,92
10,22,92
10,24,92
10,28,92
10,36,92
10,40,92
10,44,92
<<<<<<< HEAD
10,48,92
10,52,92
10,54,92
10,56,92
10,58,92
10,26,91
10,30,91
10,34,91
10,38,91
=======
10,"48 ",92
10,52,92
10,54,92
10,"56 ",92
10,"58 ",92
10,26,91
10,30,"91 "
10,34,"91 "
10,"38 ",91
>>>>>>> cd6e1eb9befbbfba5b907897a2dd81986b5fcdf4
10,42,91
10,46,91
10,50,91
10,32,92
<<<<<<< HEAD
13,2,74
=======
"13 ",2,74
>>>>>>> cd6e1eb9befbbfba5b907897a2dd81986b5fcdf4
13,4,74
13,6,74
13,8,74
13,10,74
13,12,74
13,14,74
13,16,74
13,18,74
13,20,74
13,22,74
13,24,73
13,26,73
13,28,73
13,30,73
<<<<<<< HEAD
13,32 ,73
13,34 ,73
14,2,76 
14,4,76 
14,6,76 
14,8,76
14,10,76 
14,12,76 
14,14,76 
14,16,76 
14,18,75 
14,20,75 
14,22,75 
14,24,75 
14,26,75
14,28,75
14,30,75
14,32,75
=======
13,"32 ",73
13,"34 ",73
"14 ",2,"76 "
"14 ",4,"76 "
"14 ",6,"76 "
"14 ",8,"76 "
"14 ",10,"76 "
"14 ",12,"76 "
"14 ",14,"76 "
"14 ",16,"76 "
"14 ",18,"75 "
"14 ",20,"75 "
"14 ",22,"75 "
"14 ",24,"75 "
"14 ",26,"75 "
"14 ",28,"75 "
"14 ",30,"75 "
"14 ","32 ","75 "
>>>>>>> cd6e1eb9befbbfba5b907897a2dd81986b5fcdf4
15,2,78
15,4,78
15,6,78
15,8,78
15,10,78
15,12,78
15,14,78
15,16,78
15,18,78
15,20,77
15,22,77
15,24,77
15,26,77
15,28,77
15,30,77
15,32,77
15,34,77
15,36,77
16,4,83
16,2,82
<<<<<<< HEAD
18,14,94
18,16,94
18,18,94
18,20,94
18,22,94
18,24,94
18,26,94
18,28,94
18,30,94
18,32,94
18,2,93
18,4,93
18,6,93
18,8,93
18,10,93
18,12,93
19,18,96
19,20,96
19,22,96
19,24,96
19,26,96
19,28,96
19,30,96
19,32,96
=======
18,14,"94 "
18,16,"94 "
18,18,"94 "
18,20,"94 "
18,22,"94 "
18,24,"94 "
18,26,"94 "
18,28,"94 "
18,30,"94 "
18,"32 ","94 "
18,2,"93 "
18,4,"93 "
18,6,"93 "
18,8,"93 "
18,10,"93 "
18,12,"93 "
19,18,"96 "
19,20,"96 "
19,22,"96 "
19,24,"96 "
19,26,"96 "
19,28,"96 "
19,30,"96 "
19,32,"96 "
>>>>>>> cd6e1eb9befbbfba5b907897a2dd81986b5fcdf4
19,4,95
19,6,95
19,8,95
19,10,95
19,12,95
19,14,95
19,16,95
20,20,98
20,22,98
20,24,98
20,26,98
20,28,98
20,30,98
20,32,98
20,34,98
20,36,98
20,2,97
20,4,97
20,6,97
20,8,97
20,10,97
20,12,97
20,14,97
20,16,97
<<<<<<< HEAD
20,18,97
=======
20,18,97
ACTS_vol_id,ACTS_layer_id,FTF_id
,,
>>>>>>> cd6e1eb9befbbfba5b907897a2dd81986b5fcdf4
