identifier	time_total_s	time_perevent_s
Reader:EventGenerator	0.122	0.00122
Writer:RootParticleWriter	0.2993	0.002993
Writer:RootVertexWriter	0.0438	0.000438
Algorithm:ParticleSelector	0.02147	0.0002147
Algorithm:FatrasSimulation	11.72	0.1172
Writer:CsvParticleWriter	0.9806	0.009806
Writer:CsvParticleWriter	0.9964	0.009964
Writer:CsvSimHitWriter	14.04	0.1404
Writer:RootParticleWriter	0.3061	0.003061
Writer:RootSimHitWriter	3.803	0.03803
Algorithm:DigitizationAlgorithm	2.281	0.02281
Writer:RootMeasurementWriter	7.027	0.07027
Writer:CsvMeasurementWriter	11.25	0.1125
Algorithm:TruthSeedSelector	2.922	0.02922
Algorithm:SpacePointMaker	0.2105	0.002105
Algorithm:SeedingAlgorithm	5.248	0.05248
Algorithm:TrackParamsEstimationAlgorithm	0.4724	0.004724
Algorithm:SeedsToPrototracks	0.03544	0.0003544
Writer:SeedingPerformanceWriter	20.11	0.2011
Writer:RootTrackParameterWriter	2.769	0.02769
Writer:CsvSeedWriter	9.923	0.09923
Algorithm:TrackFindingAlgorithm	66.07	0.6607
Algorithm:TrackTruthMatcher	0.1311	0.001311
Writer:RootTrackStatesWriter	6.94	0.0694
Writer:RootTrackSummaryWriter	0.07965	0.0007965
Writer:CKFPerformanceWriter	20.61	0.2061
Writer:CsvTrackWriter	0.1143	0.001143
Algorithm:GreedyAmbiguityResolutionAlgorithm	0.06647	0.0006647
Algorithm:TrackTruthMatcher	0.1427	0.001427
Writer:RootTrackStatesWriter	3.933	0.03933
Writer:RootTrackSummaryWriter	0.1068	0.001068
Writer:CKFPerformanceWriter	21.65	0.2165
Writer:CsvTrackWriter	0.09882	0.0009882
Algorithm:TracksToParameters	0.04813	0.0004813
Algorithm:IterativeVertexFinder	0.0221	0.000221
Writer:VertexPerformanceWriter	0.05853	0.0005853
